id,period,duration,depth,steff,srad,slogg,model_snr,ra,dec,disposition,source
1010.01,0.6808702,2.4634563,1507.8006889,9438.0,1.0,,4382.0266062,112.293981,-21.832912,FALSE POSITIVE,tess
1011.01,2.4704981,2.191,250.0,5413.7,0.94,4.46,1364.0,113.984761,-32.841999,CANDIDATE,tess
10118266,3.74318005,1.111,237.5,5207.0,0.851,4.516,10.5,280.66519,47.114059,CANDIDATE,kepler
10118816,7.71790675,1.84,306.8,3975.0,0.509,4.753,12.6,281.05011,47.188148,CONFIRMED,kepler
10118942,121.70747,1.37,98.2,6362.0,2.27,3.858,6.9,281.12289,47.16489,FALSE POSITIVE,kepler
10120548,8.8303681,3.426,296.2,5051.0,0.706,4.628,10.9,282.19565,47.105679,CANDIDATE,kepler
10122255,27.6652847,6.633,469.2,6036.0,1.017,4.396,36.1,283.1846,47.15567,CONFIRMED,kepler
10122538,5.53609368,2.2942,1223.3,3891.0,0.564,4.718,22.6,283.33606,47.174541,CONFIRMED,kepler
10122538,12.2854718,2.996,1617.1,3891.0,0.564,4.718,23.8,283.33606,47.174541,CONFIRMED,kepler
10122538,20.9569985,3.493,1917.9,3891.0,0.564,4.718,22.7,283.33606,47.174541,CONFIRMED,kepler
10122538,37.6333868,4.49,1661.7,3891.0,0.564,4.718,18.6,283.33606,47.174541,CONFIRMED,kepler
10122538,75.731195,4.859,2496.0,3891.0,0.564,4.718,16.3,283.33606,47.174541,CANDIDATE,kepler
10123064,4.243748097,3.3603,1409.7,5873.0,0.843,4.554,139.8,283.61795,47.196678,CONFIRMED,kepler
10125352,4.288515468,2.2959,3456.7,6378.0,2.002,3.878,292.1,284.73859,47.169628,FALSE POSITIVE,kepler
10128825,1.73984941,3.114,48.5,6119.0,1.031,4.444,10.6,286.50937,47.163219,CANDIDATE,kepler
10129482,0.846291334,1.79962,190190.0,4627.0,0.526,4.721,1049.3,286.84036,47.173309,FALSE POSITIVE,kepler
1013.01,5.4255548,3.9637474,14939.6342222,8868.7,,,1037.2753045,107.286063,-31.933523,FALSE POSITIVE,tess
10130039,5.47033376,3.1441,112.0,5782.0,1.095,4.34,32.7,287.14066,47.115189,CONFIRMED,kepler
10130039,12.75800092,4.1828,187.9,5782.0,1.095,4.34,41.7,287.14066,47.115189,CONFIRMED,kepler
10130039,25.0985083,2.7727,167.6,5782.0,1.095,4.34,21.3,287.14066,47.115189,CONFIRMED,kepler
10130057,2.17812826,2.601,100.8,5426.0,0.805,4.579,10.4,287.14621,47.183529,FALSE POSITIVE,kepler
10130646,390.40832,7.916,251.9,3659.0,0.4,4.858,8.5,287.42953,47.127609,FALSE POSITIVE,kepler
