# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Mar 23 03:48:28 2025
#
# COLUMN epic_id:        EPIC ID
# COLUMN k2_name:        K2 Name
# COLUMN pl_name:        Default Name
#
rowid,epic_id,k2_name,pl_name
410,EPIC 220492298,K2-362 b,EPIC 220492298 b
411,EPIC 228836835,K2-363 b,EPIC 228836835 b
412,EPIC 249910734,K2-364 b,HD 137496 b
413,EPIC 249910734,K2-364 c,HD 137496 c
414,EPIC 204750116,K2-365 b,K2-365 b
415,EPIC 205111664,K2-366 b,K2-366 b
416,EPIC 206055981,K2-367 b,K2-367 b
417,EPIC 206135682,K2-368 b,K2-368 b
418,EPIC 206135682,K2-368 c,K2-368 c
419,EPIC 206135682,K2-368 d,K2-368 d
420,EPIC 206146957,K2-369 b,K2-369 b
421,EPIC 203826436,K2-37 b,K2-37 b
422,EPIC 203826436,K2-37 c,K2-37 c
423,EPIC 203826436,K2-37 d,K2-37 d
424,EPIC 210797580,K2-370 b,K2-370 b
425,EPIC 211399359,K2-371 b,K2-371 b
426,EPIC 211490999,K2-372 b,K2-372 b
427,EPIC 211539054,K2-373 b,K2-373 b
428,EPIC 211732116,K2-374 b,K2-374 b
429,EPIC 211732116,K2-374 c,K2-374 c
430,EPIC 212006318,K2-375 b,K2-375 b
431,EPIC 212222383,K2-376 b,K2-376 b
432,EPIC 212530118,K2-377 b,K2-377 b
433,EPIC 212575828,K2-378 b,K2-378 b
434,EPIC 214173069,K2-379 b,K2-379 b
435,EPIC 204221263,K2-38 b,K2-38 b
436,EPIC 204221263,K2-38 c,K2-38 c
437,EPIC 214419545,K2-380 b,K2-380 b
438,EPIC 217192839,K2-381 b,K2-381 b
439,EPIC 217192839,K2-381 c,K2-381 c
440,EPIC 217192839,K2-381 d,K2-381 d
441,EPIC 217977895,K2-382 b,K2-382 b
442,EPIC 218668602,K2-383 b,K2-383 b
443,EPIC 220221272,K2-384 b,K2-384 b
444,EPIC 220221272,K2-384 c,K2-384 c
445,EPIC 220221272,K2-384 d,K2-384 d
446,EPIC 220221272,K2-384 e,K2-384 e
447,EPIC 220221272,K2-384 f,K2-384 f
448,EPIC 220459477,K2-385 b,K2-385 b
449,EPIC 220510874,K2-386 b,K2-386 b
450,EPIC 220696233,K2-387 b,K2-387 b
451,EPIC 245943455,K2-388 b,K2-388 b
452,EPIC 245991048,K2-389 b,K2-389 b
453,EPIC 245991048,K2-389 c,K2-389 c
454,EPIC 206247743,K2-39 b,K2-39 b
455,EPIC 245995977,K2-390 b,K2-390 b
456,EPIC 246074314,K2-391 b,K2-391 b
457,EPIC 246084398,K2-392 b,K2-392 b
458,EPIC 246429049,K2-393 b,K2-393 b
459,EPIC 246876040,K2-394 b,K2-394 b
460,EPIC 246891819,K2-395 b,K2-395 b
461,EPIC 246891819,K2-395 c,K2-395 c
462,EPIC 246953392,K2-396 b,K2-396 b
463,EPIC 246953392,K2-396 c,K2-396 c
464,EPIC 247383003,K2-397 b,K2-397 b
465,EPIC 248463350,K2-398 b,K2-398 b
466,EPIC 248463350,K2-398 c,K2-398 c
467,EPIC 201208431,K2-4 b,K2-4 b
468,EPIC 206154641,K2-40 b,WASP-75 b
469,EPIC 248518307,K2-400 b,K2-400 b
470,EPIC 248527514,K2-401 b,K2-401 b
471,EPIC 248621597,K2-402 b,K2-402 b
472,EPIC 248758353,K2-403 b,K2-403 b
473,EPIC 248861279,K2-404 b,K2-404 b
474,EPIC 248874928,K2-405 b,K2-405 b
475,EPIC 249223471,K2-406 b,K2-406 b
476,EPIC 249403651,K2-407 b,K2-407 b
477,EPIC 249403651,K2-407 c,K2-407 c
478,EPIC 249816490,K2-408 b,K2-408 b
479,EPIC 249924395,K2-409 b,K2-409 b
480,EPIC 212697709,K2-41 b,WASP-157 b
481,EPIC 202126849,K2-410 b,HAT-P-54 b
482,EPIC 210768568,K2-411 b,K2-411 b
483,EPIC 247422570,K2-412 b,K2-412 b
484,EPIC 246078343,K2-413 b,K2-413 b
485,EPIC 246078343,K2-413 c,K2-413 c
486,EPIC 246220667,K2-414 b,K2-414 b
487,EPIC 246220667,K2-414 c,K2-414 c
488,EPIC 211414619,K2-415 b,K2-415 b
489,EPIC 246191231,K2-416 b,K2-416 b
490,EPIC 245978988,K2-417 b,K2-417 b
491,EPIC 229004835,K2-418 b,EPIC 229004835 b
492,EPIC 211509553,K2-419 A b,K2-419 A b
493,EPIC 201155177,K2-42 b,K2-42 b
494,EPIC 201205469,K2-43 b,K2-43 b
495,EPIC 201205469,K2-43 c,K2-43 c
496,EPIC 201295312,K2-44 b,K2-44 b
497,EPIC 201345483,K2-45 b,K2-45 b
